Data;Produção
01/2022;0
02/2022;0
03/2022;0
04/2022;0
05/2022;168,2
06/2022;837,0
07/2022;894,1
08/2022;920,1
09/2022;937,2
10/2022;1120,6
11/2022;1253,6
12/2022;1203,4
01/2023;1345,3
02/2023;1368,3
03/2023;1359,5
04/2023;990,4
05/2023;913,7
06/2023;837,2
07/2023;873
08/2023;966,1
09/2023;1072,3
10/2023;1028,5
11/2023;979,9
12/2023;0
01/2024;0
02/2024;1309,5
03/2024;1157,4
04/2024;1083,4
05/2024;823,9
06/2024;625,1
07/2024;775,9
08/2024;958,9
09/2024;1083,9
10/2024;783,5
11/2024;608,3
12/2024;736,0
01/2025;892,3
02/2025;996,1
03/2025;891,4
04/2025;605,7
05/2025;606,4
06/2025;407,0
07/2025;524,9
08/2025;623,8
09/2025;725,2
10/2025;786,3
11/2025;808,3
12/2025;942,4
01/2026;820,5
02/2026;787,5
03/2026;806,9
04/2026;741,3
05/2026;478,8